Month,Log_Count_License,Log_Sum_Incentive,Log_HPI,Log_Emp,Log_Elec,Log_Sum_Incentive_lag3,Log_HPI_lag3,Log_Emp_lag3,Log_Elec_lag3,Log_Sum_Incentive_lag6,Log_HPI_lag6,Log_Emp_lag6,Log_Elec_lag6
2012-11,6.400257445308821,12.921792412524473,4.728216824232846,2.1400661634962708,-1.8578992717326,13.772517197317269,4.727156233085379,2.2192034840549946,-1.9519282213808764,14.155888365049394,4.700261099311996,2.174751721484161,-1.8773173575897015
2012-12,9.57449725626267,13.427140783384496,4.733057451262646,2.1972245773362196,-1.8838747581358606,12.953646338070914,4.725768446376145,2.1400661634962708,-1.9519282213808764,13.7916124391801,4.718727017988819,2.2617630984737906,-1.9105430052180221
2013-01,6.668228248417403,13.80615056962467,4.737455420371109,2.322387720290225,-1.8838747581358606,13.730069296788342,4.723384599860756,2.163323025660538,-1.8643301620628905,13.574900679577903,4.728429221264886,2.2617630984737906,-1.9519282213808764
2013-02,6.373319789577012,13.77959010415925,4.742578525127089,2.302585092994046,-1.8451602459551701,12.921792412524473,4.728216824232846,2.1400661634962708,-1.8578992717326,13.772517197317269,4.727156233085379,2.2192034840549946,-1.9519282213808764
2013-03,6.539585955617669,13.30857915852118,4.745630458987607,2.2300144001592104,-1.9105430052180221,13.427140783384496,4.733057451262646,2.1972245773362196,-1.8838747581358606,12.953646338070914,4.725768446376145,2.1400661634962708,-1.9519282213808764
2013-04,6.698268054115413,13.50843014847999,4.758620846911875,2.186051276738094,-2.0325579557809856,13.80615056962467,4.737455420371109,2.322387720290225,-1.8838747581358606,13.730069296788342,4.723384599860756,2.163323025660538,-1.8643301620628905
2013-05,7.049254841255837,12.939215215066126,4.7775273000694805,2.1972245773362196,-2.0325579557809856,13.77959010415925,4.742578525127089,2.302585092994046,-1.8451602459551701,12.921792412524473,4.728216824232846,2.1400661634962708,-1.8578992717326
2013-06,7.358193752733032,13.689805442836546,4.786334317692139,2.2823823856765264,-2.0874737133771,13.30857915852118,4.745630458987607,2.2300144001592104,-1.9105430052180221,13.427140783384496,4.733057451262646,2.1972245773362196,-1.8838747581358606
2013-07,7.422971251049421,13.917645920402082,4.803717100795133,2.2407096892759584,-2.0794415416798357,13.50843014847999,4.758620846911875,2.186051276738094,-2.0325579557809856,13.80615056962467,4.737455420371109,2.322387720290225,-1.8838747581358606
2013-08,7.069023426578259,13.480703935437441,4.813468660084626,2.1972245773362196,-2.071473372030659,12.939215215066126,4.7775273000694805,2.1972245773362196,-2.0325579557809856,13.77959010415925,4.742578525127089,2.302585092994046,-1.8451602459551701
2013-09,6.915723448631314,13.416044807666557,4.822440467265692,2.1400661634962708,-2.071473372030659,13.689805442836546,4.786334317692139,2.2823823856765264,-2.0874737133771,13.30857915852118,4.745630458987607,2.2300144001592104,-1.9105430052180221
2013-10,6.760414691083428,13.42422867076256,4.831180566184235,2.151762203259462,-2.0794415416798357,13.917645920402082,4.803717100795133,2.2407096892759584,-2.0794415416798357,13.50843014847999,4.758620846911875,2.186051276738094,-2.0325579557809856
2013-11,6.617402977974478,13.531990173662692,4.836358170587864,2.1041341542702074,-2.0794415416798357,13.480703935437441,4.813468660084626,2.1972245773362196,-2.071473372030659,12.939215215066126,4.7775273000694805,2.1972245773362196,-2.0325579557809856
2013-12,6.541029999189903,13.169248738110765,4.842142768636739,2.1041341542702074,-2.0794415416798357,13.416044807666557,4.822440467265692,2.1400661634962708,-2.071473372030659,13.689805442836546,4.786334317692139,2.2823823856765264,-2.0874737133771
2014-01,6.51025834052315,13.322904920890359,4.840902043341929,2.174751721484161,-1.9805015938249322,13.42422867076256,4.831180566184235,2.151762203259462,-2.0794415416798357,13.917645920402082,4.803717100795133,2.2407096892759584,-2.0794415416798357
2014-02,6.5638555265321274,11.960232527262898,4.842617556737441,2.186051276738094,-1.9805015938249322,13.531990173662692,4.836358170587864,2.1041341542702074,-2.0794415416798357,13.480703935437441,4.813468660084626,2.1972245773362196,-2.071473372030659
2014-03,6.645090969505644,13.65834057963925,4.8494456616284864,2.1041341542702074,-1.9805015938249322,13.169248738110765,4.842142768636739,2.1041341542702074,-2.0794415416798357,13.416044807666557,4.822440467265692,2.1400661634962708,-2.071473372030659
2014-04,6.6240652277998935,13.027400771189305,4.854799866871204,1.9740810260220096,-1.973281345851445,13.322904920890359,4.840902043341929,2.174751721484161,-1.9805015938249322,13.42422867076256,4.831180566184235,2.151762203259462,-2.0794415416798357
